mdl	fgspecies	bgspecies	om0	lnlm0	npm0	ombnfg	ombnbg	lnlbn	npbn	ombffg	ombfbg	lnlbf	npbf	pvalbfmo	pvalbfbn	inference
F1x4	Oncorhynchus_mykiss	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22625	-19455.551987	35	0.39982	0.22689	-19454.577355	36	0.27647300902745	0.162666183814102	nonsignificant
F1x4	Oryzias_latipes	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22465	-19497.54562	35	0.20287	0.22942	-19454.89195	36	0.456218574802437	2.55413370746336e-20	nonsignificant
F1x4	Oryzias_latipes	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22465	-19497.54562	35	0.20287	0.22942	-19454.89195	36	0.456218574802437	2.55413370746336e-20	nonsignificant
F1x4	Perca_flavescens	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.2197	-19454.420635	35	0.46497	0.22061	-19447.293021	36	7.21728598422628e-05	0.000159616808690204	relaxed_selection
F1x4	Perca_flavescens	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.2197	-19454.420635	35	0.46497	0.22061	-19447.293021	36	7.21728598422628e-05	0.000159616808690204	relaxed_selection
F1x4	Poecilia_mexicana	Lepisosteus_oculatus,Xiphophorus_maculatus,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22557	-19458.340675	35	0.33247	0.22663	-19454.566517	36	0.272121388051292	0.00600661824127849	nonsignificant
F1x4	Poecilia_mexicana	Lepisosteus_oculatus,Xiphophorus_maculatus,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22557	-19458.340675	35	0.33248	0.22663	-19454.566517	36	0.272121388051292	0.00600661824127849	nonsignificant
F1x4	Salmo_trutta	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22624	-19454.554445	35	0.50336	0.22663	-19454.09174	36	0.142053163257025	0.336058480888807	nonsignificant
F1x4	Salmo_trutta	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22624	-19454.554445	35	0.50336	0.22663	-19454.09174	36	0.142053163257025	0.336058480888807	nonsignificant
F1x4	Sinocyclocheilus_grahami	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22218	-19459.487438	35	0.27597	0.22657	-19454.955464	36	0.512908942583723	0.00260698478913697	nonsignificant
F1x4	Sinocyclocheilus_grahami	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22218	-19459.487438	35	0.27597	0.22657	-19454.955464	36	0.512908942583723	0.00260698478913697	nonsignificant
F1x4	Stegastes_partitus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22324	-19468.950429	35	0.30346	0.22532	-19454.092164	36	0.14213161121886	5.00065901204511e-08	nonsignificant
F1x4	Stegastes_partitus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22324	-19468.950429	35	0.30346	0.22532	-19454.092164	36	0.14213161121886	5.00065901204511e-08	nonsignificant
F1x4	Xiphophorus_maculatus	Lepisosteus_oculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22591	-19458.500851	35	0.29682	0.22712	-19454.944625	36	0.502427096261167	0.00765503304400676	nonsignificant
F1x4	Xiphophorus_maculatus	Lepisosteus_oculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22591	-19458.500851	35	0.29682	0.22712	-19454.944625	36	0.502427096261167	0.00765503304400676	nonsignificant
